Max,Avg,Min
51.0,44.8,40.0
47.0,40.7,32.0
61.0,56.5,43.0
54.0,37.0,24.0
36.0,29.6,23.0
42.0,34.6,26.0
52.0,43.3,35.0
42.0,38.6,33.0
46.0,40.6,32.0
55.0,47.4,41.0
41.0,37.4,36.0
57.0,44.1,37.0
43.0,40.4,38.0
46.0,40.5,35.0
43.0,40.8,39.0
43.0,40.6,38.0
47.0,39.8,34.0
38.0,35.5,33.0
47.0,38.8,32.0
49.0,40.8,35.0
43.0,36.7,30.0
49.0,37.6,30.0
50.0,39.7,31.0
55.0,42.1,32.0
52.0,43.9,35.0
47.0,42.3,35.0
49.0,40.8,34.0
46.0,40.0,35.0
