REPORT_DATE,WARD,LIVES_LOST,POSITIVE_CASES,TOTAL_TESTS,LOAD_TIME,OBJECTID
2020/03/31 04:00:00+00,Ward 1,,65,,2021/01/20 16:15:05+00,1
2020/04/01 04:00:00+00,Ward 1,,75,,2021/01/20 16:15:05+00,2
2020/04/02 04:00:00+00,Ward 1,,84,,2021/01/20 16:15:05+00,3
2020/04/03 04:00:00+00,Ward 1,,100,,2021/01/20 16:15:05+00,4
2020/04/04 04:00:00+00,Ward 1,,107,,2021/01/20 16:15:05+00,5
2020/04/05 04:00:00+00,Ward 1,,119,,2021/01/20 16:15:05+00,6
2020/04/06 04:00:00+00,Ward 1,,135,,2021/01/20 16:15:05+00,7
2020/04/07 04:00:00+00,Ward 1,,160,,2021/01/20 16:15:05+00,8
2020/04/08 04:00:00+00,Ward 1,,172,,2021/01/20 16:15:05+00,9
2020/04/09 04:00:00+00,Ward 1,,183,,2021/01/20 16:15:05+00,10
2020/04/10 04:00:00+00,Ward 1,,202,,2021/01/20 16:15:05+00,11
2020/04/11 04:00:00+00,Ward 1,,218,,2021/01/20 16:15:05+00,12
2020/04/12 04:00:00+00,Ward 1,,223,,2021/01/20 16:15:05+00,13
2020/04/13 04:00:00+00,Ward 1,,230,,2021/01/20 16:15:05+00,14
2020/04/14 04:00:00+00,Ward 1,,243,,2021/01/20 16:15:05+00,15
2020/04/15 04:00:00+00,Ward 1,,264,,2021/01/20 16:15:05+00,16
2020/04/16 04:00:00+00,Ward 1,,282,,2021/01/20 16:15:05+00,17
2020/04/17 04:00:00+00,Ward 1,,309,,2021/01/20 16:15:05+00,18
2020/04/18 04:00:00+00,Ward 1,,330,,2021/01/20 16:15:05+00,19
2020/04/19 04:00:00+00,Ward 1,6,344,,2021/01/20 16:15:05+00,20
2020/04/20 04:00:00+00,Ward 1,6,355,,2021/01/20 16:15:05+00,21
2020/04/21 04:00:00+00,Ward 1,6,359,,2021/01/20 16:15:05+00,22
2020/04/22 04:00:00+00,Ward 1,8,376,,2021/01/20 16:15:05+00,23
2020/04/23 04:00:00+00,Ward 1,8,403,,2021/01/20 16:15:05+00,24
2020/04/24 04:00:00+00,Ward 1,11,427,,2021/01/20 16:15:05+00,25
2020/04/25 04:00:00+00,Ward 1,11,444,,2021/01/20 16:15:05+00,26
2020/04/26 04:00:00+00,Ward 1,11,450,,2021/01/20 16:15:05+00,27
2020/04/27 04:00:00+00,Ward 1,12,475,,2021/01/20 16:15:05+00,28
2020/04/28 04:00:00+00,Ward 1,17,503,,2021/01/20 16:15:05+00,29
2020/04/29 04:00:00+00,Ward 1,21,543,,2021/01/20 16:15:05+00,30
2020/04/30 04:00:00+00,Ward 1,21,593,,2021/01/20 16:15:05+00,31
2020/05/01 04:00:00+00,Ward 1,21,621,,2021/01/20 16:15:05+00,32
2020/05/02 04:00:00+00,Ward 1,21,649,,2021/01/20 16:15:05+00,33
2020/05/03 04:00:00+00,Ward 1,21,668,,2021/01/20 16:15:05+00,34
2020/05/04 04:00:00+00,Ward 1,22,694,,2021/01/20 16:15:05+00,35
2020/05/05 04:00:00+00,Ward 1,24,710,,2021/01/20 16:15:05+00,36
2020/05/06 04:00:00+00,Ward 1,25,746,,2021/01/20 16:15:05+00,37
2020/05/07 04:00:00+00,Ward 1,25,774,,2021/01/20 16:15:05+00,38
2020/05/08 04:00:00+00,Ward 1,28,809,,2021/01/20 16:15:05+00,39
2020/05/09 04:00:00+00,Ward 1,32,835,,2021/01/20 16:15:05+00,40
2020/05/10 04:00:00+00,Ward 1,29,851,,2021/01/20 16:15:05+00,41
2020/05/11 04:00:00+00,Ward 1,31,872,,2021/01/20 16:15:05+00,42
2020/05/12 04:00:00+00,Ward 1,32,880,,2021/01/20 16:15:05+00,43
2020/05/13 04:00:00+00,Ward 1,33,908,,2021/01/20 16:15:05+00,44
2020/05/14 04:00:00+00,Ward 1,33,924,,2021/01/20 16:15:05+00,45
2020/05/15 04:00:00+00,Ward 1,35,951,,2021/01/20 16:15:05+00,46
2020/05/16 04:00:00+00,Ward 1,35,962,,2021/01/20 16:15:05+00,47
2020/05/17 04:00:00+00,Ward 1,36,985,,2021/01/20 16:15:05+00,48
2020/05/18 04:00:00+00,Ward 1,36,1023,,2021/01/20 16:15:05+00,49
2020/05/19 04:00:00+00,Ward 1,36,1032,3963,2021/01/20 16:15:05+00,50
2020/05/20 04:00:00+00,Ward 1,37,1071,4282,2021/01/20 16:15:05+00,51
2020/05/21 04:00:00+00,Ward 1,37,1095,,2021/01/20 16:15:05+00,52
2020/05/22 04:00:00+00,Ward 1,40,1105,,2021/01/20 16:15:05+00,53
2020/05/23 04:00:00+00,Ward 1,41,1125,,2021/01/20 16:15:05+00,54
2020/05/24 04:00:00+00,Ward 1,43,1144,,2021/01/20 16:15:05+00,55
2020/05/25 04:00:00+00,Ward 1,43,1166,4767,2021/01/20 16:15:05+00,56
2020/05/26 04:00:00+00,Ward 1,45,1178,4951,2021/01/20 16:15:05+00,57
2020/05/27 04:00:00+00,Ward 1,46,1188,,2021/01/20 16:15:05+00,58
2020/05/28 04:00:00+00,Ward 1,47,1198,,2021/01/20 16:15:05+00,59
2020/05/29 04:00:00+00,Ward 1,47,1221,5156,2021/01/20 16:15:05+00,60
2020/05/30 04:00:00+00,Ward 1,48,1229,5251,2021/01/20 16:15:05+00,61
2020/05/31 04:00:00+00,Ward 1,48,1237,,2021/01/20 16:15:05+00,62
2020/06/01 04:00:00+00,Ward 1,48,1243,5298,2021/01/20 16:15:05+00,63
2020/06/02 04:00:00+00,Ward 1,48,1243,5572,2021/01/20 16:15:05+00,64
2020/06/03 04:00:00+00,Ward 1,49,1288,5820,2021/01/20 16:15:05+00,65
2020/06/04 04:00:00+00,Ward 1,51,1302,5936,2021/01/20 16:15:05+00,66
2020/06/05 04:00:00+00,Ward 1,51,1313,6209,2021/01/20 16:15:05+00,67
2020/06/06 04:00:00+00,Ward 1,52,1320,6279,2021/01/20 16:15:05+00,68
2020/06/07 04:00:00+00,Ward 1,52,1335,6439,2021/01/20 16:15:05+00,69
2020/06/08 04:00:00+00,Ward 1,53,1343,6638,2021/01/20 16:15:05+00,70
2020/06/09 04:00:00+00,Ward 1,53,1352,6638,2021/01/20 16:15:05+00,71
2020/06/10 04:00:00+00,Ward 1,53,1354,6638,2021/01/20 16:15:05+00,72
2020/06/11 04:00:00+00,Ward 1,54,1372,7395,2021/01/20 16:15:05+00,73
2020/06/12 04:00:00+00,Ward 1,54,1384,7457,2021/01/20 16:15:05+00,74
2020/06/13 04:00:00+00,Ward 1,54,1390,7705,2021/01/20 16:15:05+00,75
2020/06/14 04:00:00+00,Ward 1,54,1395,7820,2021/01/20 16:15:05+00,76
2020/06/15 04:00:00+00,Ward 1,55,1400,7995,2021/01/20 16:15:05+00,77
2020/06/16 04:00:00+00,Ward 1,55,1403,8333,2021/01/20 16:15:05+00,78
2020/06/17 04:00:00+00,Ward 1,56,1409,8632,2021/01/20 16:15:05+00,79
2020/06/18 04:00:00+00,Ward 1,56,1414,8834,2021/01/20 16:15:05+00,80
2020/06/19 04:00:00+00,Ward 1,56,1419,9431,2021/01/20 16:15:05+00,81
2020/06/20 04:00:00+00,Ward 1,56,1431,9750,2021/01/20 16:15:05+00,82
2020/06/21 04:00:00+00,Ward 1,57,1435,10095,2021/01/20 16:15:05+00,83
2020/06/22 04:00:00+00,Ward 1,58,1441,10285,2021/01/20 16:15:05+00,84
2020/06/23 04:00:00+00,Ward 1,60,1447,10434,2021/01/20 16:15:05+00,85
2020/06/24 04:00:00+00,Ward 1,60,1448,10805,2021/01/20 16:15:05+00,86
2020/06/25 04:00:00+00,Ward 1,60,1455,10980,2021/01/20 16:15:05+00,87
2020/06/26 04:00:00+00,Ward 1,60,1459,11102,2021/01/20 16:15:05+00,88
2020/06/27 04:00:00+00,Ward 1,60,1461,11775,2021/01/20 16:15:05+00,89
2020/06/28 04:00:00+00,Ward 1,60,1470,12208,2021/01/20 16:15:05+00,90
2020/06/29 04:00:00+00,Ward 1,60,1474,12553,2021/01/20 16:15:05+00,91
2020/06/30 04:00:00+00,Ward 1,60,1479,12828,2021/01/20 16:15:05+00,92
2020/07/01 04:00:00+00,Ward 1,61,1482,12919,2021/01/20 16:15:05+00,93
2020/07/02 04:00:00+00,Ward 1,61,1489,13095,2021/01/20 16:15:05+00,94
2020/07/03 04:00:00+00,Ward 1,62,1490,13329,2021/01/20 16:15:05+00,95
2020/07/04 04:00:00+00,Ward 1,62,1498,13541,2021/01/20 16:15:05+00,96
2020/07/05 04:00:00+00,Ward 1,62,1504,13795,2021/01/20 16:15:05+00,97
2020/07/06 04:00:00+00,Ward 1,62,1510,14255,2021/01/20 16:15:05+00,98
2020/07/07 04:00:00+00,Ward 1,62,1516,14530,2021/01/20 16:15:05+00,99
2020/07/08 04:00:00+00,Ward 1,62,1522,,2021/01/20 16:15:05+00,100
2020/07/09 04:00:00+00,Ward 1,62,1526,15235,2021/01/20 16:15:05+00,101
2020/07/10 04:00:00+00,Ward 1,62,1536,15460,2021/01/20 16:15:05+00,102
2020/07/11 04:00:00+00,Ward 1,62,1541,15649,2021/01/20 16:15:05+00,103
2020/07/12 04:00:00+00,Ward 1,62,1549,15969,2021/01/20 16:15:05+00,104
2020/07/13 04:00:00+00,Ward 1,62,1556,16590,2021/01/20 16:15:05+00,105
2020/07/14 04:00:00+00,Ward 1,62,1565,17223,2021/01/20 16:15:05+00,106
2020/07/15 04:00:00+00,Ward 1,63,1572,17461,2021/01/20 16:15:05+00,107
2020/07/16 04:00:00+00,Ward 1,62,1578,18282,2021/01/20 16:15:05+00,108
2020/07/17 04:00:00+00,Ward 1,63,1585,18819,2021/01/20 16:15:05+00,109
2020/07/18 04:00:00+00,Ward 1,63,1592,13818,2021/01/20 16:15:05+00,110
2020/07/19 04:00:00+00,Ward 1,63,1602,19597,2021/01/20 16:15:05+00,111
2020/07/20 04:00:00+00,Ward 1,64,1606,20121,2021/01/20 16:15:05+00,112
2020/07/21 04:00:00+00,Ward 1,64,1614,20756,2021/01/20 16:15:05+00,113
2020/07/22 04:00:00+00,Ward 1,64,1624,20980,2021/01/20 16:15:05+00,114
2020/07/23 04:00:00+00,Ward 1,64,1635,21223,2021/01/20 16:15:05+00,115
2020/07/24 04:00:00+00,Ward 1,64,1642,21597,2021/01/20 16:15:05+00,116
2020/07/25 04:00:00+00,Ward 1,64,1652,21928,2021/01/20 16:15:05+00,117
2020/07/26 04:00:00+00,Ward 1,64,1659,22310,2021/01/20 16:15:05+00,118
2020/07/27 04:00:00+00,Ward 1,64,1670,22729,2021/01/20 16:15:05+00,119
2020/07/28 04:00:00+00,Ward 1,64,1678,22982,2021/01/20 16:15:05+00,120
2020/07/29 04:00:00+00,Ward 1,64,1681,23231,2021/01/20 16:15:05+00,121
2020/07/30 04:00:00+00,Ward 1,65,1685,23925,2021/01/20 16:15:05+00,122
2020/07/31 04:00:00+00,Ward 1,65,1693,24603,2021/01/20 16:15:05+00,123
2020/08/01 04:00:00+00,Ward 1,65,1699,25029,2021/01/20 16:15:05+00,124
2020/08/02 04:00:00+00,Ward 1,65,1700,25149,2021/01/20 16:15:05+00,125
2020/08/03 04:00:00+00,Ward 1,65,1708,25255,2021/01/20 16:15:05+00,126
2020/08/04 04:00:00+00,Ward 1,65,1709,25557,2021/01/20 16:15:05+00,127
2020/08/05 04:00:00+00,Ward 1,65,1714,25951,2021/01/20 16:15:05+00,128
2020/08/06 04:00:00+00,Ward 1,65,1720,26208,2021/01/20 16:15:05+00,129
2020/08/07 04:00:00+00,Ward 1,66,1723,26803,2021/01/20 16:15:05+00,130
2020/08/08 04:00:00+00,Ward 1,66,1736,27304,2021/01/20 16:15:05+00,131
2020/08/09 04:00:00+00,Ward 1,66,1742,27562,2021/01/20 16:15:05+00,132
2020/08/10 04:00:00+00,Ward 1,67,1747,27873,2021/01/20 16:15:05+00,133
2020/08/11 04:00:00+00,Ward 1,67,1752,28271,2021/01/20 16:15:05+00,134
2020/08/12 04:00:00+00,Ward 1,67,1755,28689,2021/01/20 16:15:05+00,135
2020/08/13 04:00:00+00,Ward 1,67,1762,29775,2021/01/20 16:15:05+00,136
2020/08/14 04:00:00+00,Ward 1,67,1766,30068,2021/01/20 16:15:05+00,137
2020/08/15 04:00:00+00,Ward 1,67,1772,30474,2021/01/20 16:15:05+00,138
2020/08/16 04:00:00+00,Ward 1,67,1774,30824,2021/01/20 16:15:05+00,139
2020/08/17 04:00:00+00,Ward 1,67,1777,31253,2021/01/20 16:15:05+00,140
2020/08/18 04:00:00+00,Ward 1,67,1782,31404,2021/01/20 16:15:05+00,141
2020/08/19 04:00:00+00,Ward 1,67,1791,31857,2021/01/20 16:15:05+00,142
2020/08/20 04:00:00+00,Ward 1,67,1797,32712,2021/01/20 16:15:05+00,143
2020/08/21 04:00:00+00,Ward 1,67,1802,33199,2021/01/20 16:15:05+00,144
2020/08/22 04:00:00+00,Ward 1,67,1807,33633,2021/01/20 16:15:05+00,145
2020/08/23 04:00:00+00,Ward 1,67,1810,33910,2021/01/20 16:15:05+00,146
2020/08/24 04:00:00+00,Ward 1,67,1812,34178,2021/01/20 16:15:05+00,147
2020/08/25 04:00:00+00,Ward 1,67,1819,34324,2021/01/20 16:15:05+00,148
2020/08/26 04:00:00+00,Ward 1,67,1838,34811,2021/01/20 16:15:05+00,149
2020/08/27 04:00:00+00,Ward 1,67,1837,35511,2021/01/20 16:15:05+00,150
2020/08/28 04:00:00+00,Ward 1,67,1844,36192,2021/01/20 16:15:05+00,151
2020/08/29 04:00:00+00,Ward 1,67,1844,36409,2021/01/20 16:15:05+00,152
2020/08/30 04:00:00+00,Ward 1,67,1844,36693,2021/01/20 16:15:05+00,153
2020/08/31 04:00:00+00,Ward 1,67,1849,36893,2021/01/20 16:15:05+00,154
2020/09/01 04:00:00+00,Ward 1,67,1851,37064,2021/01/20 16:15:05+00,155
2020/09/02 04:00:00+00,Ward 1,67,1853,37578,2021/01/20 16:15:05+00,156
2020/09/03 04:00:00+00,Ward 1,67,1857,38077,2021/01/20 16:15:05+00,157
2020/09/04 04:00:00+00,Ward 1,67,1863,38800,2021/01/20 16:15:05+00,158
2020/09/05 04:00:00+00,Ward 1,67,1867,39243,2021/01/20 16:15:05+00,159
2020/09/06 04:00:00+00,Ward 1,67,1870,39402,2021/01/20 16:15:05+00,160
2020/09/07 04:00:00+00,Ward 1,67,1875,39828,2021/01/20 16:15:05+00,161
2020/09/08 04:00:00+00,Ward 1,67,1880,39905,2021/01/20 16:15:05+00,162
2020/09/09 04:00:00+00,Ward 1,67,1884,40055,2021/01/20 16:15:05+00,163
2020/09/10 04:00:00+00,Ward 1,67,1895,40430,2021/01/20 16:15:05+00,164
2020/09/11 04:00:00+00,Ward 1,67,1905,41258,2021/01/20 16:15:05+00,165
2020/09/12 04:00:00+00,Ward 1,67,1906,41861,2021/01/20 16:15:05+00,166
2020/09/13 04:00:00+00,Ward 1,67,1908,42085,2021/01/20 16:15:05+00,167
2020/09/14 04:00:00+00,Ward 1,67,1914,42560,2021/01/20 16:15:05+00,168
2020/09/15 04:00:00+00,Ward 1,67,1917,42716,2021/01/20 16:15:05+00,169
2020/09/16 04:00:00+00,Ward 1,67,1928,43051,2021/01/20 16:15:05+00,170
2020/09/17 04:00:00+00,Ward 1,67,1937,44060,2021/01/20 16:15:05+00,171
2020/09/18 04:00:00+00,Ward 1,67,1943,44424,2021/01/20 16:15:05+00,172
2020/09/19 04:00:00+00,Ward 1,68,1945,45048,2021/01/20 16:15:05+00,173
2020/09/20 04:00:00+00,Ward 1,68,1950,45423,2021/01/20 16:15:05+00,174
2020/09/21 04:00:00+00,Ward 1,68,1955,46190,2021/01/20 16:15:05+00,175
2020/09/22 04:00:00+00,Ward 1,68,1954,46379,2021/01/20 16:15:05+00,176
2020/09/23 04:00:00+00,Ward 1,68,1961,47032,2021/01/20 16:15:05+00,177
2020/09/24 04:00:00+00,Ward 1,68,1964,47757,2021/01/20 16:15:05+00,178
2020/09/25 04:00:00+00,Ward 1,68,1977,48447,2021/01/20 16:15:05+00,179
2020/09/26 04:00:00+00,Ward 1,68,1982,48721,2021/01/20 16:15:05+00,180
2020/09/27 04:00:00+00,Ward 1,68,1983,48850,2021/01/20 16:15:05+00,181
2020/09/28 04:00:00+00,Ward 1,68,1987,49382,2021/01/20 16:15:05+00,182
2020/09/29 04:00:00+00,Ward 1,69,1992,49505,2021/01/20 16:15:05+00,183
2020/09/30 04:00:00+00,Ward 1,69,1995,49851,2021/01/20 16:15:05+00,184
2020/10/01 04:00:00+00,Ward 1,69,1994,50394,2021/01/20 16:15:05+00,185
2020/10/02 04:00:00+00,Ward 1,69,2001,51050,2021/01/20 16:15:05+00,186
2020/10/03 04:00:00+00,Ward 1,70,2001,51246,2021/01/20 16:15:05+00,187
2020/10/04 04:00:00+00,Ward 1,70,2008,51409,2021/01/20 16:15:05+00,188
2020/10/05 04:00:00+00,Ward 1,70,2028,52571,2021/01/20 16:15:05+00,189
2020/10/06 04:00:00+00,Ward 1,70,2036,52790,2021/01/20 16:15:05+00,190
2020/10/07 04:00:00+00,Ward 1,70,2036,53127,2021/01/20 16:15:05+00,191
2020/10/08 04:00:00+00,Ward 1,70,2043,53955,2021/01/20 16:15:05+00,192
2020/10/09 04:00:00+00,Ward 1,70,2055,55064,2021/01/20 16:15:05+00,193
2020/10/10 04:00:00+00,Ward 1,70,2070,55931,2021/01/20 16:15:05+00,194
2020/10/11 04:00:00+00,Ward 1,70,2073,56233,2021/01/20 16:15:05+00,195
2020/10/12 04:00:00+00,Ward 1,70,2076,56819,2021/01/20 16:15:05+00,196
2020/10/13 04:00:00+00,Ward 1,71,2085,57372,2021/01/20 16:15:05+00,197
2020/10/14 04:00:00+00,Ward 1,71,2088,57551,2021/01/20 16:15:05+00,198
2020/10/15 04:00:00+00,Ward 1,71,2104,58224,2021/01/20 16:15:05+00,199
2020/10/16 04:00:00+00,Ward 1,71,2131,59188,2021/01/20 16:15:05+00,200
2020/10/17 04:00:00+00,Ward 1,71,2131,59654,2021/01/20 16:15:05+00,201
2020/10/18 04:00:00+00,Ward 1,71,2138,59846,2021/01/20 16:15:05+00,202
2020/10/19 04:00:00+00,Ward 1,71,2142,60493,2021/01/20 16:15:05+00,203
2020/10/20 04:00:00+00,Ward 1,71,2144,60802,2021/01/20 16:15:05+00,204
2020/10/21 04:00:00+00,Ward 1,71,2156,61239,2021/01/20 16:15:05+00,205
2020/10/22 04:00:00+00,Ward 1,71,2164,61914,2021/01/20 16:15:05+00,206
2020/10/23 04:00:00+00,Ward 1,71,2176,62437,2021/01/20 16:15:05+00,207
2020/10/24 04:00:00+00,Ward 1,71,2187,63153,2021/01/20 16:15:05+00,208
2020/10/25 04:00:00+00,Ward 1,71,2193,63362,2021/01/20 16:15:05+00,209
2020/10/26 04:00:00+00,Ward 1,71,2208,63818,2021/01/20 16:15:05+00,210
2020/10/27 04:00:00+00,Ward 1,71,2220,64238,2021/01/20 16:15:05+00,211
2020/10/28 04:00:00+00,Ward 1,71,2242,64780,2021/01/20 16:15:05+00,212
2020/10/29 04:00:00+00,Ward 1,71,2259,65389,2021/01/20 16:15:05+00,213
2020/10/30 04:00:00+00,Ward 1,71,2274,66002,2021/01/20 16:15:05+00,214
2020/10/31 04:00:00+00,Ward 1,71,2295,66814,2021/01/20 16:15:05+00,215
2020/11/01 04:00:00+00,Ward 1,71,2304,67106,2021/01/20 16:15:05+00,216
2020/11/02 05:00:00+00,Ward 1,71,2318,67792,2021/01/20 16:15:05+00,217
2020/11/03 05:00:00+00,Ward 1,71,2329,68178,2021/01/20 16:15:05+00,218
2020/11/04 05:00:00+00,Ward 1,72,2334,68512,2021/01/20 16:15:05+00,219
2020/11/05 05:00:00+00,Ward 1,73,2364,69345,2021/01/20 16:15:05+00,220
2020/11/06 05:00:00+00,Ward 1,74,2365,69667,2021/01/20 16:15:05+00,221
2020/11/07 05:00:00+00,Ward 1,74,2383,70402,2021/01/20 16:15:05+00,222
2020/11/08 05:00:00+00,Ward 1,75,2393,70703,2021/01/20 16:15:05+00,223
2020/11/09 05:00:00+00,Ward 1,76,2400,71016,2021/01/20 16:15:05+00,224
2020/11/10 05:00:00+00,Ward 1,76,2413,71773,2021/01/20 16:15:05+00,225
2020/11/11 05:00:00+00,Ward 1,76,2426,72282,2021/01/20 16:15:05+00,226
2020/11/12 05:00:00+00,Ward 1,76,2442,73385,2021/01/20 16:15:05+00,227
2020/11/13 05:00:00+00,Ward 1,76,2459,74162,2021/01/20 16:15:05+00,228
2020/11/14 05:00:00+00,Ward 1,76,2480,74752,2021/01/20 16:15:05+00,229
2020/11/15 05:00:00+00,Ward 1,76,2488,74947,2021/01/20 16:15:05+00,230
2020/11/16 05:00:00+00,Ward 1,76,2518,75912,2021/01/20 16:15:05+00,231
2020/11/17 05:00:00+00,Ward 1,77,2539,76579,2021/01/20 16:15:05+00,232
2020/11/18 05:00:00+00,Ward 1,77,2560,77299,2021/01/20 16:15:05+00,233
2020/11/19 05:00:00+00,Ward 1,77,2575,77674,2021/01/20 16:15:05+00,234
2020/11/20 05:00:00+00,Ward 1,77,2595,79089,2021/01/20 16:15:05+00,235
2020/11/21 05:00:00+00,Ward 1,77,2611,80426,2021/01/20 16:15:05+00,236
2020/11/22 05:00:00+00,Ward 1,77,2632,81811,2021/01/20 16:15:05+00,237
2020/11/23 05:00:00+00,Ward 1,77,2643,82647,2021/01/20 16:15:05+00,238
2020/11/24 05:00:00+00,Ward 1,77,2654,83407,2021/01/20 16:15:05+00,239
2020/11/25 05:00:00+00,Ward 1,77,2686,85950,2021/01/20 16:15:05+00,240
2020/11/26 05:00:00+00,Ward 1,77,2712,87159,2021/01/20 16:15:05+00,241
2020/11/27 05:00:00+00,Ward 1,77,2751,89054,2021/01/20 16:15:05+00,242
2020/11/28 05:00:00+00,Ward 1,77,2761,89821,2021/01/20 16:15:05+00,243
2020/11/29 05:00:00+00,Ward 1,77,2778,90472,2021/01/20 16:15:05+00,244
2020/11/30 05:00:00+00,Ward 1,77,2795,90782,2021/01/20 16:15:05+00,245
2020/12/01 05:00:00+00,Ward 1,77,2812,91114,2021/01/20 16:15:05+00,246
2020/12/02 05:00:00+00,Ward 1,77,2843,91930,2021/01/20 16:15:05+00,247
2020/12/03 05:00:00+00,Ward 1,77,2883,92611,2021/01/20 16:15:05+00,248
2020/12/04 05:00:00+00,Ward 1,77,2930,94099,2021/01/20 16:15:05+00,249
2020/12/05 05:00:00+00,Ward 1,77,2955,94793,2021/01/20 16:15:05+00,250
2020/12/06 05:00:00+00,Ward 1,77,2980,95494,2021/01/20 16:15:05+00,251
2020/12/07 05:00:00+00,Ward 1,77,3015,96215,2021/01/20 16:15:05+00,252
2020/12/08 05:00:00+00,Ward 1,78,3051,97216,2021/01/20 16:15:05+00,253
2020/12/09 05:00:00+00,Ward 1,80,3069,97769,2021/01/20 16:15:05+00,254
2020/12/10 05:00:00+00,Ward 1,80,3100,98504,2021/01/20 16:15:05+00,255
2020/12/11 05:00:00+00,Ward 1,81,3131,99461,2021/01/20 16:15:05+00,256
2020/12/12 05:00:00+00,Ward 1,82,3164,100594,2021/01/20 16:15:05+00,257
2020/12/13 05:00:00+00,Ward 1,82,3187,101233,2021/01/20 16:15:05+00,258
2020/12/14 05:00:00+00,Ward 1,83,3229,102656,2021/01/20 16:15:05+00,259
2020/12/15 05:00:00+00,Ward 1,83,3259,103489,2021/01/20 16:15:05+00,260
2020/12/16 05:00:00+00,Ward 1,83,3290,104060,2021/01/20 16:15:05+00,261
2020/12/17 05:00:00+00,Ward 1,83,3322,105102,2021/01/20 16:15:05+00,262
2020/12/18 05:00:00+00,Ward 1,83,3358,106374,2021/01/20 16:15:05+00,263
2020/12/19 05:00:00+00,Ward 1,83,3384,107360,2021/01/20 16:15:05+00,264
2020/12/20 05:00:00+00,Ward 1,83,3403,107948,2021/01/20 16:15:05+00,265
2020/12/21 05:00:00+00,Ward 1,83,3420,108520,2021/01/20 16:15:05+00,266
2020/12/22 05:00:00+00,Ward 1,85,3462,109916,2021/01/20 16:15:05+00,267
2020/12/23 05:00:00+00,Ward 1,86,3493,110778,2021/01/20 16:15:05+00,268
2020/12/24 05:00:00+00,Ward 1,86,3520,112054,2021/01/20 16:15:05+00,269
2020/12/26 05:00:00+00,Ward 1,86,3583,115140,2021/01/20 16:15:05+00,270
2020/12/27 05:00:00+00,Ward 1,86,3595,115378,2021/01/20 16:15:05+00,271
2020/12/28 05:00:00+00,Ward 1,86,3613,115680,2021/01/20 16:15:05+00,272
2020/12/29 05:00:00+00,Ward 1,87,3638,116146,2021/01/20 16:15:05+00,273
2020/12/30 05:00:00+00,Ward 1,87,3663,116550,2021/01/20 16:15:05+00,274
2020/12/31 05:00:00+00,Ward 1,87,3693,117547,2021/01/20 16:15:05+00,275
2021/01/01 05:00:00+00,Ward 1,87,3724,118371,2021/01/20 16:15:05+00,276
2021/01/02 05:00:00+00,Ward 1,87,3755,119284,2021/01/20 16:15:05+00,277
2021/01/03 05:00:00+00,Ward 1,87,3775,119713,2021/01/20 16:15:05+00,278
2021/01/04 05:00:00+00,Ward 1,87,3799,120257,2021/01/20 16:15:05+00,279
2021/01/05 05:00:00+00,Ward 1,88,3835,120881,2021/01/20 16:15:05+00,280
2021/01/06 05:00:00+00,Ward 1,88,3859,121436,2021/01/20 16:15:05+00,281
2021/01/07 05:00:00+00,Ward 1,88,3898,122319,2021/01/20 16:15:05+00,282
2021/01/08 05:00:00+00,Ward 1,89,3938,123224,2021/01/20 16:15:05+00,283
2021/01/09 05:00:00+00,Ward 1,90,3975,123854,2021/01/20 16:15:05+00,284
2021/01/10 05:00:00+00,Ward 1,90,4005,124155,2021/01/20 16:15:05+00,285
2021/01/11 05:00:00+00,Ward 1,90,4054,125360,2021/01/20 16:15:05+00,286
2021/01/12 05:00:00+00,Ward 1,90,4072,125726,2021/01/20 16:15:05+00,287
2021/01/13 05:00:00+00,Ward 1,91,4102,126306,2021/01/20 16:15:05+00,288
2021/01/14 05:00:00+00,Ward 1,91,4134,127051,2021/01/20 16:15:05+00,289
2021/01/15 05:00:00+00,Ward 1,91,4177,128633,2021/01/20 16:15:05+00,290
2021/01/16 05:00:00+00,Ward 1,92,4214,129897,2021/01/20 16:15:05+00,291
2021/01/17 05:00:00+00,Ward 1,93,4226,130287,2021/01/20 16:15:05+00,292
2021/01/18 05:00:00+00,Ward 1,93,4254,130987,2021/01/20 16:15:05+00,293
1970/01/01 00:00:00+00,Ward 1,,,,2021/01/20 16:15:05+00,294
2020/03/31 04:00:00+00,Ward 2,,60,,2021/01/20 16:15:05+00,295
2020/04/01 04:00:00+00,Ward 2,,73,,2021/01/20 16:15:05+00,296
2020/04/02 04:00:00+00,Ward 2,,79,,2021/01/20 16:15:05+00,297
2020/04/03 04:00:00+00,Ward 2,,92,,2021/01/20 16:15:05+00,298
2020/04/04 04:00:00+00,Ward 2,,92,,2021/01/20 16:15:05+00,299
2020/04/05 04:00:00+00,Ward 2,,107,,2021/01/20 16:15:05+00,300
2020/04/06 04:00:00+00,Ward 2,,117,,2021/01/20 16:15:05+00,301
2020/04/07 04:00:00+00,Ward 2,,134,,2021/01/20 16:15:05+00,302
2020/04/08 04:00:00+00,Ward 2,,137,,2021/01/20 16:15:05+00,303
2020/04/09 04:00:00+00,Ward 2,,145,,2021/01/20 16:15:05+00,304
2020/04/10 04:00:00+00,Ward 2,,151,,2021/01/20 16:15:05+00,305
2020/04/11 04:00:00+00,Ward 2,,160,,2021/01/20 16:15:05+00,306
2020/04/12 04:00:00+00,Ward 2,,180,,2021/01/20 16:15:05+00,307
2020/04/13 04:00:00+00,Ward 2,,182,,2021/01/20 16:15:05+00,308
