Date,Ward_1_Scaled,Ward_2_Scaled,Ward_3_Scaled,Ward_4_Scaled,Ward_5_Scaled,Ward_6_Scaled,Ward_7_Scaled,Ward_8_Scaled,Avg_Temp_Scaled
2020-06-05,-0.28206174571203657,-0.8695736345787795,-0.5103686756159038,-0.12407778945554752,-0.8142143264466469,-0.6706550167248901,-0.43441314012312254,-0.15730672431296883,0.8076646086338545
2020-06-06,-0.6242733046918573,-0.7580215001954246,-0.6708171970273414,-0.4486741493705067,-0.6728425945065772,-0.4613877963836837,-0.43441314012312254,-0.22832501433407798,1.1811156349202823
2020-06-07,0.06014981326778413,-0.9811257689621342,-0.831265718438779,-0.6434319653194822,-0.8849001924166817,-0.8101664969523611,-0.7344321149164635,-0.29934330435518713,0.8551947392521273
2020-06-08,-0.5387204149469021,-0.534917231428715,-0.18947163279302873,0.07068002649342796,-0.6021567285365423,-0.5311435364974192,-0.28440365272645207,-0.08628843429185967,0.7193943660570626
2020-06-09,-0.453167525201947,-0.8695736345787795,-0.5103686756159038,-0.2539163334215312,-0.8849001924166817,-0.18236483592874184,-0.584422627519793,-0.5834164644396238,1.0385252430654648
2020-06-10,-1.0520377534166332,-0.7580215001954246,-0.029023111381591138,-0.5785126933364904,-0.5314708625665076,-0.7404107568386257,-0.8844416023131341,-0.3703615943762963,1.3237060267750997
2020-06-11,0.3168084825026497,-0.7580215001954246,-0.831265718438779,-0.5785126933364904,-0.4607849965964727,-0.5311435364974192,-0.584422627519793,-0.5834164644396238,1.0656853177044772
2020-06-12,-0.1965088559670814,-0.8695736345787795,-0.831265718438779,-0.4486741493705067,-1.0262719243567513,-0.6706550167248901,-0.28440365272645207,-0.7254530444818421,1.0860553736837366
2020-06-13,-0.7098261944368125,-0.534917231428715,-0.9917142398502166,-0.18899706143853937,-0.8142143264466469,-0.8799222370660966,-0.28440365272645207,-0.22832501433407798,0.6582841981192832
2020-06-14,-0.7953790841817677,-0.6464693658120698,-0.831265718438779,-0.9031090532514495,-0.9555860583867165,-0.7404107568386257,-1.0344510897098045,-0.5834164644396238,0.48174371296569957
2020-06-15,-0.7953790841817677,-0.534917231428715,-0.9917142398502166,-0.4486741493705067,-0.8849001924166817,-0.7404107568386257,-0.8844416023131341,-1.0095262045662787,0.47495369430594575
2020-06-16,-0.9664848636716781,-0.8695736345787795,-0.6708171970273414,-0.708351237302474,-1.0262719243567513,-0.6706550167248901,-1.0344510897098045,-0.8674896245240604,0.47495369430594575
2020-06-17,-0.7098261944368125,-0.8695736345787795,-0.18947163279302873,-0.8381897812684577,-0.6021567285365423,-0.6008992766111547,-0.584422627519793,-0.29934330435518713,0.3731034144096473
2020-06-18,-0.7953790841817677,-0.534917231428715,-0.5103686756159038,-0.38375487738751485,-0.9555860583867165,-0.7404107568386257,-0.5094178838214578,-0.7254530444818421,0.5971740301815047
2020-06-19,-0.7953790841817677,-0.8695736345787795,-0.9917142398502166,-0.6434319653194822,-0.8849001924166817,-0.8799222370660966,-0.9594463460114693,-0.7254530444818421,0.8280346646131139
2020-06-20,-0.1965088559670814,-0.9811257689621342,-0.831265718438779,-0.708351237302474,-0.8142143264466469,-0.6706550167248901,-1.10945583340814,-1.0095262045662787,0.6718642354387898
2020-06-21,-0.8809319739267228,-0.7580215001954246,-0.831265718438779,-0.9031090532514495,-0.9555860583867165,-0.18236483592874184,-0.9594463460114693,-0.7254530444818421,0.8619847579118801
2020-06-22,-0.7098261944368125,-0.7580215001954246,-0.6708171970273414,-0.5785126933364904,-0.9555860583867165,-0.8799222370660966,-0.6594273712181283,-0.9385079145451696,1.0521052803849704
2020-06-23,-0.7098261944368125,-0.534917231428715,-0.9917142398502166,-0.9680283252344413,-0.8142143264466469,-0.8101664969523611,-0.6594273712181283,-0.8674896245240604,1.0521052803849704
2020-06-24,-1.1375906431615883,-0.08870869389529576,-0.831265718438779,-0.8381897812684577,-1.0969577903267862,-0.6706550167248901,-0.9594463460114693,-0.7964713345029513,1.1267954856422566
2020-06-25,-0.6242733046918573,-0.6464693658120698,-0.9917142398502166,-1.0329475972174331,-1.0262719243567513,-0.7404107568386257,-1.10945583340814,-0.8674896245240604,0.9638350378081786
2020-06-26,-0.8809319739267228,-0.7580215001954246,-0.6708171970273414,-0.7732705092854658,-0.6728425945065772,-0.4613877963836837,-1.0344510897098045,-1.0805444945873879,1.0996354110032431
2020-06-27,-1.0520377534166332,-0.6464693658120698,-0.18947163279302873,-0.9031090532514495,-0.8142143264466469,-0.6706550167248901,-0.8844416023131341,-1.0095262045662787,1.2897559334763335
2020-06-28,-0.453167525201947,-0.9811257689621342,-0.5103686756159038,-0.7732705092854658,-1.167643656296821,-0.5311435364974192,-0.6594273712181283,-0.5123981744185147,1.3169160081153468
2020-06-29,-0.8809319739267228,-0.6464693658120698,-0.831265718438779,-0.8381897812684577,-0.8849001924166817,-0.4613877963836837,-0.8094368586147989,-0.9385079145451696,1.4187662880116454
2020-06-30,-0.7953790841817677,-0.20026082827865058,-0.9917142398502166,-0.9680283252344413,-1.0969577903267862,-0.5311435364974192,-0.6594273712181283,-0.7964713345029513,1.3237060267750997
2020-07-01,-0.9664848636716781,-0.31181296266200537,-0.9917142398502166,-1.0329475972174331,-1.167643656296821,-0.8101664969523611,-0.9594463460114693,-0.7964713345029513,1.0656853177044772
2020-07-02,-0.6242733046918573,-0.20026082827865058,-0.6708171970273414,-0.6434319653194822,-0.8142143264466469,-0.7404107568386257,-1.0344510897098045,-0.7254530444818421,1.3237060267750997
2020-07-03,-1.1375906431615883,-0.8695736345787795,-0.6708171970273414,-1.2277054131664087,-1.0262719243567513,-0.949677977179832,-0.9594463460114693,-1.151562784608497,1.6360468851237489
2020-07-04,-0.5387204149469021,-0.4233650970453602,-0.831265718438779,-1.0329475972174331,-1.0969577903267862,-0.6008992766111547,-0.8094368586147989,-0.8674896245240604,1.4934564932689305
2020-07-05,-0.7098261944368125,-0.7580215001954246,-0.5103686756159038,-0.8381897812684577,-1.0262719243567513,-0.8101664969523611,-0.8094368586147989,-0.7964713345029513,1.3304960454348536
2020-07-06,-0.7098261944368125,-0.9811257689621342,-0.5103686756159038,-0.6434319653194822,-0.4607849965964727,-0.6008992766111547,-0.3594083964247873,-1.0805444945873879,1.1811156349202823
2020-07-07,-0.7098261944368125,0.13439557487141385,0.29187393144128404,-0.7732705092854658,-0.9555860583867165,-0.25212057604247734,-0.13439416532978155,0.1267664357714678,0.9570450191484258
2020-07-08,-0.7098261944368125,-0.534917231428715,-0.831265718438779,-0.7732705092854658,-0.8142143264466469,-0.949677977179832,-0.7344321149164635,-0.8674896245240604,1.3304960454348536
2020-07-09,-0.8809319739267228,-0.08870869389529576,-0.029023111381591138,-0.7732705092854658,-0.8849001924166817,-0.18236483592874184,-0.6594273712181283,-0.3703615943762963,1.2558058401775674
2020-07-10,-0.36761463545699175,-0.4233650970453602,-0.5103686756159038,-0.6434319653194822,-0.8142143264466469,-0.5311435364974192,-0.5094178838214578,-0.44137988439740544,1.269385877497074
2020-07-11,-0.7953790841817677,-0.6464693658120698,-0.831265718438779,-0.7732705092854658,-0.743528460476612,-0.4613877963836837,-0.8844416023131341,-0.3703615943762963,1.357656120073866
2020-07-12,-0.5387204149469021,-0.534917231428715,-0.6708171970273414,-0.7732705092854658,-0.6021567285365423,-0.7404107568386257,-0.28440365272645207,-0.654434754460733,1.235435784198308
2020-07-13,-0.6242733046918573,-0.534917231428715,-0.831265718438779,-0.9031090532514495,-0.743528460476612,-0.6008992766111547,-0.5094178838214578,-0.7254530444818421,1.1743256162605293
2020-07-14,-0.453167525201947,0.4690519780214783,-0.3499201542044663,-0.708351237302474,-0.3194132646564031,-0.18236483592874184,-0.28440365272645207,-0.5834164644396238,1.228645765538555
2020-07-15,-0.6242733046918573,-0.20026082827865058,-0.831265718438779,-0.8381897812684577,-0.6021567285365423,-0.5311435364974192,-0.584422627519793,-0.7254530444818421,1.2625958588373212
2020-07-16,-0.7098261944368125,-0.08870869389529576,-0.6708171970273414,-0.9680283252344413,-0.6728425945065772,-0.7404107568386257,-0.8844416023131341,-0.9385079145451696,1.1335855043020093
